text,label
Government increases education budget,REAL
Stock market reaches new high,REAL
New healthcare policy launched,REAL
Scientists discover new medical treatment,REAL
Prime Minister visits flood affected areas,REAL
New university campus inaugurated,REAL
Technology exports increase this year,REAL
Sports team wins international championship,REAL
Weather department predicts heavy rain,REAL
New railway project approved,REAL
National assembly passes economic reform bill,REAL
New airport terminal opens for public,REAL
Researchers develop faster internet technology,REAL
Local farmers receive government support,REAL
International trade agreement signed,REAL
School enrollment rate improves this year,REAL
Police launch anti-crime operation,REAL
Electric vehicle sales continue to rise,REAL
Pakistan wins cricket series,REAL
Scientists discover renewable energy source,REAL
Health ministry starts vaccination campaign,REAL
Oil prices decrease in global market,REAL
University students win robotics competition,REAL
Flood relief camps set up in affected areas,REAL
New software company creates jobs,REAL
Economic growth rate shows improvement,REAL
Government approves new tax reforms,REAL
New hospitals inaugurated in rural areas,REAL
Education system reforms announced nationwide,REAL
Infrastructure development projects begin in cities,REAL

Scientists confirm aliens exist in official government report,FAKE
Aliens landed in Karachi yesterday according to secret sources,FAKE
Government secretly controls weather using satellites,FAKE
Scientists claim humans can fly after meditation training,FAKE
Study shows mobile phones control human thoughts,FAKE
Official report says invisible people live among citizens,FAKE
Breaking news: water has healing magical properties,FAKE
Researchers discover humans can live 500 years,FAKE
Government bans gravity experiment due to safety risks,FAKE
Scientists invent machine that reads dreams,FAKE
UFO sightings confirmed in multiple cities report claims,FAKE
Man claims he can talk to animals telepathically,FAKE
Ancient pyramid found under Karachi city,FAKE
Doctors say chocolate cures all diseases instantly,FAKE
Scientists confirm moon is slowly disappearing,FAKE
People report seeing dragons near mountains,FAKE
Time travel technology secretly tested by scientists,FAKE
Government announces invisible cities project,FAKE
Study claims brain can be fully replaced by computer,FAKE
Scientists discover humans can survive without oxygen,FAKE
Magic water sold in markets cures all illnesses,FAKE
Alien spaceship officially registered at airport,FAKE
Man becomes invisible after drinking special tea,FAKE
Scientists confirm dinosaurs still exist underground,FAKE
People disappear due to unknown government experiment,FAKE